date,open,high,low,close,volume,amount
2011-03-01,3241.714000,3273.511000,3235.754000,3254.893000000,88566954.00,124040755772.000
2011-03-02,3237.116000,3257.419000,3202.833000,3243.298000000,80910641.00,113592007455.000
2011-03-03,3248.156000,3271.640000,3221.038000,3221.718000000,101219997.00,131217797700.000
2011-03-04,3223.507000,3273.658000,3217.477000,3270.666000000,80013915.00,107401810462.000
2011-03-07,3287.405000,3337.466000,3287.405000,3334.510000000,118187197.00,170406772534.000
2011-03-08,3335.710000,3342.711000,3311.722000,3337.457000000,84878655.00,126306326053.000
2011-03-09,3344.100000,3355.487000,3322.698000,3338.858000000,78026361.00,113534089995.000
2011-03-10,3330.444000,3330.444000,3279.330000,3280.259000000,78212642.00,117952630963.000
2011-03-11,3263.081000,3290.700000,3240.181000,3247.376000000,67208335.00,100306077088.000
2011-03-14,3238.905000,3263.906000,3230.114000,3262.920000000,63689783.00,94134688007.000
2011-03-15,3250.595000,3250.595000,3147.957000,3203.961000000,96033979.00,129603315155.000
2011-03-16,3204.919000,3250.878000,3202.931000,3248.195000000,78859520.00,111826095701.000
2011-03-17,3216.288000,3240.381000,3185.084000,3197.100000000,85687114.00,117295727563.000
2011-03-18,3228.915000,3239.963000,3205.144000,3215.685000000,61340161.00,86845200065.000
2011-03-21,3220.677000,3236.279000,3194.145000,3207.110000000,59105037.00,84105739105.000
2011-03-22,3217.800000,3227.797000,3175.930000,3222.961000000,57248684.00,80009792794.000
2011-03-23,3222.325000,3267.004000,3216.653000,3264.926000000,72077585.00,98540423659.000
2011-03-24,3269.575000,3273.370000,3250.023000,3251.361000000,61304244.00,88058905863.000
2011-03-25,3256.179000,3304.264000,3254.683000,3294.484000000,86895979.00,122021366960.000
2011-03-28,3307.405000,3328.070000,3286.856000,3290.571000000,97684300.00,139030083023.000
2011-03-29,3288.564000,3309.199000,3256.337000,3257.979000000,105280164.00,132908076725.000
2011-03-30,3256.722000,3274.977000,3233.109000,3256.080000000,78336337.00,103271930321.000
2011-03-31,3257.164000,3264.956000,3210.174000,3223.288000000,64503880.00,86565372662.000
2011-04-01,3227.564000,3272.768000,3220.911000,3272.729000000,63094722.00,86711549873.000
2011-04-06,3269.190000,3315.299000,3268.765000,3311.067000000,105823674.00,143030090888.000
2011-04-07,3313.467000,3330.805000,3302.818000,3324.419000000,84681762.00,112678585789.000
2011-04-08,3321.540000,3353.889000,3314.089000,3353.358000000,73929210.00,107329316269.000
2011-04-11,3363.370000,3380.527000,3331.174000,3333.427000000,104420545.00,141974385699.000
2011-04-12,3324.754000,3350.156000,3307.476000,3326.771000000,101938506.00,122863556078.000
2011-04-13,3311.324000,3372.031000,3296.507000,3372.031000000,87036338.00,108305234380.000
2011-04-14,3374.324000,3378.703000,3347.488000,3353.560000000,88972241.00,107491228060.000
2011-04-15,3345.134000,3378.106000,3323.563000,3358.944000000,78514874.00,98934572633.000
2011-04-18,3346.149000,3372.900000,3335.599000,3359.438000000,86582624.00,107178227750.000
